Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
N1620326,171-6851352-6145168-1,OFFACB01JSDCRFA,GM-Spain,171-6851352-6145168,2024-09-23 09:14:22,Delivered,2024-09-27 10:14:00,2024-09-27 10:14:00
N1620686,171-4254207-9286768-1,SBEAUB01FSZQU50,GM-Spain,171-4254207-9286768,2024-09-23 20:52:36,Delivered,2024-09-28 12:42:00,2024-09-28 12:42:00
N1621800,405-4027905-3391554-1,INDSCB01DUY3HQG,GM-Spain,405-4027905-3391554,2024-09-25 14:37:55,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
N1617619,408-1177961-9705940-1,KITCHB0B4ZZS488,GM-Spain,408-1177961-9705940,2024-09-17 12:27:49,Delivered,2024-09-20 10:20:00,2024-09-20 10:20:00
N1619252,408-3379603-0189154-1,SAPPAB0C7PX9KNR,GM-Spain,408-3379603-0189154,2024-09-20 22:45:07,Delivered,2024-09-23 13:01:00,2024-09-23 13:01:00
N1605216,404-0080917-3777945-1,HARDWB07BZT1S92,GM-Spain,404-0080917-3777945,2024-08-24 22:00:03,Delivered,2024-08-28 13:01:00,2024-08-28 13:01:00
N1615319,402-9041112-8113956-1,ELELAB071YCXTF6,GM-Spain,402-9041112-8113956,2024-09-12 09:14:03,Delivered,2024-09-17 10:07:00,2024-09-17 10:07:00
N1622389,407-4955507-0889162-1,FOOTWB002CXVG10,GM-Spain,407-4955507-0889162,2024-09-26 12:40:28,Delivered,2024-09-30 10:40:00,2024-09-30 10:40:00
N1615134,405-8750804-3056331-1,HARDWB07GBG1LY1,GM-Spain,405-8750804-3056331,2024-09-11 21:45:13,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
